flow_id,capture_id,traffic_class,label,transport_protocol,duration,packet_count,forward_packet_count,backward_packet_count,total_bytes,forward_bytes,backward_bytes,mean_packet_size,median_packet_size,std_packet_size,min_packet_size,max_packet_size,p25_packet_size,p75_packet_size,p90_packet_size,p95_packet_size,p99_packet_size,mean_iat,median_iat,std_iat,min_iat,max_iat,p25_iat,p75_iat,p90_iat,p95_iat,p99_iat,packet_rate,byte_rate,packet_direction_ratio,byte_direction_ratio,burst_count,forward_burst_count,backward_burst_count,mean_burst_packets,max_burst_packets,mean_burst_bytes,max_burst_bytes,active_time,idle_time,split,packet_window
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,TCP,0.352675,20,10,10,16990,7678,9312,849.5,755.0,344.2005,357,1460,571.75,1122.75,1395.2,1442.9,1456.58,0.018562,0.016488,0.011957,0.001185,0.043688,0.010132,0.026426,0.033779,0.042929,0.043536,56.7094,48174.6651,0.5,0.4519,12,6,6,1.6667,3,1415.8333,2565,0.28214,0.070535,train,20
flow_http3_web_fsv871,cap_http3_web_yzoyn6,HTTP3_WEB,1,QUIC,0.35964,20,15,5,16976,13244,3732,848.8,886.0,341.9609,197,1459,649.0,1112.75,1228.2,1369.7,1441.14,0.018928,0.018667,0.0113,0.000459,0.040329,0.014297,0.026293,0.032288,0.038326,0.039928,55.6112,47202.7583,0.75,0.7802,7,3,4,2.8571,9,2425.1429,7500,0.287712,0.071928,train,20
flow_doh_mcikpt,cap_doh_k93tyt,DOH,2,TCP,0.363486,8,4,4,1672,966,706,209.0,205.0,75.7727,54,305,172.75,274.5,293.1,299.05,303.81,0.051927,0.045479,0.018405,0.033195,0.085774,0.03784,0.061679,0.077952,0.081863,0.084992,22.0091,4599.9021,0.5,0.5778,8,4,4,1.0,1,209.0,305,0.290789,0.072697,train,20
flow_doh3_fkhmy4,cap_doh3_sj6bw3,DOH3,3,QUIC,0.124157,7,4,3,1351,813,538,193.0,220.0,60.6536,116,287,133.0,231.0,258.8,272.9,284.18,0.020693,0.019231,0.009506,0.005275,0.033411,0.016514,0.028358,0.032372,0.032892,0.033307,56.3802,10881.3841,0.5714,0.6018,7,4,3,1.0,1,193.0,287,0.099326,0.024831,validation,20
flow_doq_zue8yf,cap_doq_bntpbn,DOQ,4,QUIC,0.084678,6,3,3,1131,516,615,188.5,196.5,35.855,118,229,179.75,211.75,221.0,225.0,228.2,0.016936,0.011393,0.016246,0.003176,0.048829,0.00939,0.01189,0.034053,0.041441,0.047351,70.8567,13356.4798,0.5,0.4562,6,3,3,1.0,1,188.5,229,0.067742,0.016936,test,20
flow_https_web_xaji0y,cap_https_web_6dpbhs,HTTPS_WEB,0,TCP,0.522141,30,15,15,25779,13257,12522,859.3,928.5,338.3866,337,1460,559.25,1099.25,1360.3,1418.6,1454.78,0.018005,0.016488,0.011719,0.001185,0.043688,0.01099,0.024714,0.033607,0.042501,0.043452,57.4557,49371.7214,0.5,0.5143,19,10,9,1.5789,3,1356.7895,2632,0.417713,0.104428,train,30
flow_http3_web_fsv871,cap_http3_web_yzoyn6,HTTP3_WEB,1,QUIC,0.52498,30,21,9,26028,18788,7240,867.6,886.0,333.3255,197,1459,635.25,1120.25,1304.3,1359.15,1431.74,0.018103,0.018532,0.011932,0.000459,0.040329,0.007446,0.028223,0.035408,0.037158,0.039706,57.145,49579.0316,0.7,0.7218,13,6,7,2.3077,9,2002.1538,7500,0.419984,0.104996,train,30
flow_doh_mcikpt,cap_doh_k93tyt,DOH,2,TCP,0.363486,8,4,4,1672,966,706,209.0,205.0,75.7727,54,305,172.75,274.5,293.1,299.05,303.81,0.051927,0.045479,0.018405,0.033195,0.085774,0.03784,0.061679,0.077952,0.081863,0.084992,22.0091,4599.9021,0.5,0.5778,8,4,4,1.0,1,209.0,305,0.290789,0.072697,train,30
flow_doh3_fkhmy4,cap_doh3_sj6bw3,DOH3,3,QUIC,0.124157,7,4,3,1351,813,538,193.0,220.0,60.6536,116,287,133.0,231.0,258.8,272.9,284.18,0.020693,0.019231,0.009506,0.005275,0.033411,0.016514,0.028358,0.032372,0.032892,0.033307,56.3802,10881.3841,0.5714,0.6018,7,4,3,1.0,1,193.0,287,0.099326,0.024831,validation,30
flow_doq_zue8yf,cap_doq_bntpbn,DOQ,4,QUIC,0.084678,6,3,3,1131,516,615,188.5,196.5,35.855,118,229,179.75,211.75,221.0,225.0,228.2,0.016936,0.011393,0.016246,0.003176,0.048829,0.00939,0.01189,0.034053,0.041441,0.047351,70.8567,13356.4798,0.5,0.4562,6,3,3,1.0,1,188.5,229,0.067742,0.016936,test,30
